iter	Passed	Remaining
300	482	1119
301	483	1117
302	486	1119
303	487	1116
304	488	1112
305	489	1109
306	489	1105
307	493	1108
308	494	1105
309	495	1102
310	496	1099
311	498	1098
312	499	1096
313	500	1093
314	501	1089
315	502	1086
316	505	1089
317	506	1086
318	507	1083
319	508	1080
320	511	1082
321	512	1078
322	513	1076
323	514	1073
324	517	1074
325	518	1072
326	519	1069
327	520	1066
328	525	1071
329	526	1068
330	527	1065
331	530	1066
332	531	1064
333	532	1061
334	533	1058
335	533	1054
336	535	1054
337	538	1053
338	539	1051
339	539	1048
340	542	1049
341	543	1046
342	544	1043
343	545	1039
344	548	1040
345	549	1038
346	550	1035
347	551	1032
348	551	1029
349	552	1026
350	554	1025
351	555	1022
352	556	1020
353	557	1016
354	560	1017
355	561	1016
356	563	1014
357	563	1011
358	565	1009
359	566	1007
360	567	1004
361	571	1007
362	572	1005
363	573	1002
364	576	1003
365	579	1003
366	580	1000
367	582	1001
368	584	999
369	587	1000
370	589	1000
371	590	997
372	593	997
373	596	998
374	597	995
375	599	995
376	601	993
377	603	992
378	606	994
379	608	992
380	608	989
381	609	986
382	611	984
383	612	981
384	613	979
385	615	978
386	616	976
387	617	974
388	622	978
389	623	975
390	628	978
391	634	984
392	636	982
393	636	979
394	640	981
395	641	978
396	643	977
397	645	975
398	646	973
399	647	970
400	651	973
401	652	970
402	653	968
403	658	971
404	659	969
405	664	971
406	665	969
407	666	966
408	671	969
409	673	968
410	678	971
411	679	969
412	683	971
413	684	969
414	685	966
415	688	967
416	690	964
417	691	962
418	695	964
419	696	961
420	697	959
421	701	961
422	703	959
423	704	957
424	707	957
425	708	955
426	710	953
427	714	954
428	715	951
429	716	949
430	716	946
431	719	946
432	720	943
433	721	941
434	722	938
435	723	935
436	725	934
437	726	932
438	727	930
439	728	927
440	729	924
441	731	923
442	732	920
443	733	918
444	734	915
445	734	912
446	735	909
447	736	907
448	738	905
449	739	903
450	739	900
451	740	898
452	741	895
453	743	894
454	745	892
455	746	890
456	746	887
457	747	884
458	750	884
459	751	882
460	752	879
461	753	877
462	754	874
463	756	873
464	757	871
465	758	868
466	759	866
467	760	864
468	762	862
469	763	860
470	764	858
471	765	855
472	766	854
473	768	852
474	769	850
475	770	847
476	770	845
477	774	845
478	775	843
479	776	840
480	776	838
481	777	835
482	779	834
483	780	832
484	781	830
485	782	827
486	783	825
487	785	824
488	786	822
489	787	819
490	788	817
491	789	814
492	789	812
493	791	810
494	792	808
495	793	806
496	794	803
497	794	801
498	795	798
499	796	796
500	798	794
501	798	792
502	799	790
503	800	787
504	800	785
505	801	782
506	803	781
507	805	780
508	806	778
509	807	775
510	808	773
511	809	771
512	810	769
513	811	767
514	812	765
515	813	762
516	815	761
517	816	760
518	817	757
519	818	755
520	819	753
521	821	752
522	823	750
523	823	748
524	825	746
525	826	744
526	827	742
527	828	740
528	829	738
529	830	736
530	831	734
531	832	732
532	833	729
533	833	727
534	834	725
535	835	723
536	836	721
537	837	718
538	838	716
539	839	714
540	839	712
541	840	710
542	841	708
543	842	705
544	842	703
545	843	701
546	845	699
547	846	697
548	847	696
549	848	693
550	848	691
551	849	689
552	850	687
553	851	685
554	852	683
555	852	681
556	853	678
557	854	676
558	855	674
559	855	672
560	858	671
561	859	669
562	859	667
563	860	665
564	861	663
565	862	660
566	863	659
567	864	657
568	865	655
569	866	653
570	867	651
571	868	649
572	869	647
573	870	645
574	871	643
575	872	642
576	873	640
577	874	638
578	876	637
579	877	635
580	878	633
581	879	631
582	879	629
583	881	628
584	882	626
585	883	624
586	885	622
587	887	621
588	888	619
589	889	617
590	889	615
591	890	613
592	891	611
593	893	610
594	894	608
595	896	607
596	897	606
597	900	605
598	901	603
599	902	601
600	903	600
601	905	598
602	906	597
603	907	595
604	908	593
605	909	591
606	910	589
607	912	588
608	913	586
609	914	584
610	915	582
611	919	582
612	921	581
613	925	581
614	927	580
615	928	578
616	931	578
617	932	576
618	933	574
619	934	573
620	937	572
621	938	570
622	939	568
623	941	567
624	943	566
625	944	564
626	945	562
627	946	560
628	947	558
629	949	557
630	950	556
631	951	554
632	952	552
633	953	550
634	955	549
635	956	547
636	956	545
637	957	543
638	958	541
639	961	540
640	962	538
641	962	536
642	963	535
643	964	533
644	966	532
645	967	530
646	968	528
647	969	526
648	970	524
649	970	522
650	971	521
651	972	519
652	973	517
653	974	515
654	975	513
655	975	511
656	976	509
657	978	508
658	980	507
659	981	505
660	982	503
661	982	501
662	984	500
663	986	498
664	987	497
665	987	495
666	988	493
667	989	491
668	991	490
669	993	489
670	994	487
671	995	485
672	996	484
673	998	482
674	999	481
675	999	479
676	1000	477
677	1001	475
678	1003	474
679	1004	472
680	1005	470
681	1005	469
682	1006	467
683	1009	466
684	1010	464
685	1011	462
686	1012	461
687	1012	459
688	1014	458
689	1016	456
690	1017	454
691	1018	453
692	1019	451
693	1021	450
694	1022	448
695	1023	446
696	1024	445
697	1025	443
698	1027	442
699	1028	440
700	1029	439
701	1030	437
702	1030	435
703	1031	433
704	1032	432
705	1033	430
706	1034	428
707	1035	427
708	1036	425
709	1036	423
710	1037	421
711	1040	420
712	1041	419
713	1042	417
714	1043	415
715	1043	413
716	1045	412
717	1046	411
718	1047	409
719	1048	407
720	1049	406
721	1050	404
722	1052	403
723	1053	401
724	1054	400
725	1055	398
726	1056	396
727	1058	395
728	1059	393
729	1060	392
730	1061	390
731	1061	388
732	1062	387
733	1064	385
734	1065	384
735	1066	382
736	1066	380
737	1067	378
738	1068	377
739	1070	376
740	1070	374
741	1071	372
742	1072	370
743	1073	369
744	1073	367
745	1074	365
746	1075	364
747	1075	362
748	1076	360
749	1077	359
750	1078	357
751	1078	355
752	1079	354
753	1080	352
754	1080	350
755	1081	349
756	1082	347
757	1083	345
758	1083	344
759	1084	342
760	1085	340
761	1085	339
762	1086	337
763	1087	335
764	1087	334
765	1088	332
766	1089	330
767	1090	329
768	1090	327
769	1091	325
770	1091	324
771	1092	322
772	1092	320
773	1093	319
774	1094	317
775	1095	316
776	1095	314
777	1096	312
778	1097	311
779	1097	309
780	1098	308
781	1099	306
782	1099	304
783	1100	303
784	1101	301
785	1102	300
786	1102	298
787	1103	296
788	1104	295
789	1104	293
790	1105	292
791	1106	290
792	1107	289
793	1107	287
794	1108	285
795	1109	284
796	1109	282
797	1110	281
798	1111	279
799	1111	277
800	1112	276
801	1113	274
802	1114	273
803	1115	271
804	1115	270
805	1116	268
806	1117	267
807	1117	265
808	1118	264
809	1119	262
810	1119	260
811	1120	259
812	1121	257
813	1121	256
814	1122	254
815	1123	253
816	1123	251
817	1124	250
818	1125	248
819	1126	247
820	1126	245
821	1127	244
822	1128	242
823	1128	241
824	1129	239
825	1130	238
826	1130	236
827	1131	235
828	1132	233
829	1133	232
830	1133	230
831	1134	229
832	1135	227
833	1135	226
834	1136	224
835	1136	223
836	1137	221
837	1138	220
838	1139	218
839	1139	217
840	1140	215
841	1141	214
842	1141	212
843	1142	211
844	1142	209
845	1143	208
846	1144	206
847	1145	205
848	1145	203
849	1146	202
850	1147	200
851	1147	199
852	1148	197
853	1148	196
854	1149	194
855	1150	193
856	1151	192
857	1151	190
858	1152	189
859	1152	187
860	1153	186
861	1154	184
862	1154	183
863	1155	181
864	1156	180
865	1157	179
866	1157	177
867	1158	176
868	1159	174
869	1159	173
870	1160	171
871	1161	170
872	1161	168
873	1162	167
874	1163	166
875	1164	164
876	1164	163
877	1165	161
878	1166	160
879	1166	159
880	1167	157
881	1167	156
882	1169	154
883	1170	153
884	1171	152
885	1171	150
886	1172	149
887	1172	147
888	1173	146
889	1174	145
890	1175	143
891	1176	142
892	1177	141
893	1177	139
894	1178	138
895	1179	136
896	1179	135
897	1180	134
898	1181	132
899	1182	131
900	1183	130
901	1184	128
902	1185	127
903	1185	125
904	1186	124
905	1187	123
906	1188	121
907	1189	120
908	1190	119
909	1190	117
910	1191	116
911	1192	115
912	1192	113
913	1193	112
914	1194	110
915	1195	109
916	1195	108
917	1196	106
918	1196	105
919	1197	104
920	1198	102
921	1198	101
922	1199	100
923	1200	98
924	1201	97
925	1201	96
926	1202	94
927	1203	93
928	1204	92
929	1204	90
930	1205	89
931	1206	88
932	1206	86
933	1207	85
934	1208	83
935	1208	82
936	1209	81
937	1210	79
938	1210	78
939	1211	77
940	1212	76
941	1213	74
942	1213	73
943	1214	72
944	1214	70
945	1215	69
946	1216	68
947	1216	66
948	1217	65
949	1218	64
950	1218	62
951	1219	61
952	1220	60
953	1221	58
954	1221	57
955	1222	56
956	1223	54
957	1223	53
958	1224	52
959	1225	51
960	1226	49
961	1226	48
962	1227	47
963	1228	45
964	1228	44
965	1229	43
966	1230	41
967	1230	40
968	1231	39
969	1232	38
970	1232	36
971	1233	35
972	1234	34
973	1234	32
974	1235	31
975	1236	30
976	1236	29
977	1237	27
978	1238	26
979	1239	25
980	1239	24
981	1240	22
982	1241	21
983	1241	20
984	1242	18
985	1242	17
986	1243	16
987	1244	15
988	1245	13
989	1245	12
990	1246	11
991	1246	10
992	1247	8
993	1248	7
994	1248	6
995	1249	5
996	1250	3
997	1251	2
998	1251	1
999	1252	0
